Tên sản phẩm,Loại sản phẩm,Mã SKU,Đơn vị,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
xoài sấy dẻo lọ 500g,"Đồ Ăn, Thức Uống",XSD/L/500G,Lọ,26,0,120.000,0
Trà Atiso đỏ,"Đồ Ăn, Thức Uống",TRA/ATS,Gói,26,0,60.000,0
Cốc CF thẳng ko quai 4 màu,Hàng Gốm Sứ,CF/CT/4M,Cái,26,0,60.000,0
MẸT F25 VẼ PHONG CẢNH CL,Thủ công mỹ nghệ,TMET2501,Cái,26,0,500.000,0
Nón dây thổ cẩm,"Nón, Nón treo",ND/TC,Cái,26,0,100.000,0
Hộp trang sức SM hình chữ nhật KT 9x18,Hàng Sơn Mài,SM/HTS/9x18,Cái,26,0,300.000,0
"Áo dài hoa nhí, các loại",Quần Áo,CL/AODAI/HOA,Chiếc,25,"15.044,33",400.000,0
Bộ đũa bao gấm 5 đôi/1 vỉ,Đũa,DBG/5DOI,Vỉ,25,0,120.000,0
Sprite 320ml - hương chanh.,"Đồ Ăn, Thức Uống",8935049501718,Lon,24,0,12.000,0
Ken bia 330ml (chai lẻ),"Đồ Ăn, Thức Uống",8934822202330,Chai,24,0,24.000,0
Cốc vuốt HB,Hàng Gốm Sứ,HB/C/V,Cái,24,0,80.000,0
Áo dài thêu,Quần Áo,CL/AODAI/THEU,Chiếc,24,"7.912,09",600.000,0
"""MR.VIET Cà Phê Đường Phố - Cà Phê Rang Xay Túi 250g (MR.VIET Street Coffee - Ground Coffee 250g Bag)""","Đồ Ăn, Thức Uống",8936135431599,Gói,24,0,160.000,0
Nước khoáng Lavie 500ml (chai lẻ),"Đồ Ăn, Thức Uống",8935005801029,Chai,23,0,6.000,0
Trà San Tuyết,"Đồ Ăn, Thức Uống",TRA/ST,Gói,23,0,50.000,0
Bát mắm HB sen,Hàng Gốm Sứ,HB/BMM/SEN,Cái,23,0,50.000,0
Cốc HB,Hàng Gốm Sứ,C/HB,Cái,23,0,80.000,0
Hộp trang sức SM vuông 10x10,Hàng Sơn Mài,SM/HTS/10x10,Cái,23,0,200.000,0
Lọ mini vẽ các loại,Hàng Gốm Sứ,T/LH/MN/VE,Cái,23,0,50.000,0
Trà sâm dứa,"Đồ Ăn, Thức Uống",TRA/SD,Gói,23,0,60.000,0
