Tên sản phẩm;LC_CN1_Tồn kho ban đầu;LC_CN1_Giá vốn khởi tạo;PL_Giá bán lẻ;PL_Giá nhập
Momo rabit XL trai;5;0;279.000;0
Quà Mamogom- máy úp bình tiệt trùng và sấy khô Fino / 16 bịch;1;0;0;0
Nước giật đồ lót KOSE 200ml;4;0;139.000;93.000
Tẩy lông Veet dành cho da nhạy cảm;3;0;225.000;150.000
Dầu óc chó Thuyền Xưa;3;40.000;59.000;40.000
Bánh gạo ăn dặm hữu cơ Ildong các vị;9;60.000;95.000;60.000
Tất Nezumi các màu;87;0;29.000;16.000
Tất Uni cổ cao xám đen nhạt;29;8.000;25.000;8.000
Sữa tắm dưỡng ẩm hương nước hoa No.2;3;85.000;145.000;85.000
Táo đỏ kẹp hạt điều;0;0;75.000;45.000
Bánh quy khay vị sữa;5;35.000;59.000;35.000
Bánh quy khay vị rau củ;5;35.000;59.000;35.000
Bánh pizza tròn;8;12.000;24.000;12.000
Kẹo dẻo vị xoài;4;37.000;65.000;37.000
Kẹo dẻo vị việt quất;4;37.000;65.000;37.000
Kẹo dẻo vị sữa chua;3;37.000;65.000;37.000
Bánh mochi gói vị socola;3;47.000;79.000;47.000
Bánh mochi gói vị xoài;3;47.000;79.000;47.000
Thanh gạo lứt chà bông;10;36.000;59.000;36.000
Kem dưỡng ẩm phục hồi da Embryolisse Lait-Crème Concentre 75ml;3;182.000;445.000;300.000
Kem dưỡng ẩm phục hồi da Embryolisse Lait-Crème Concentre 30ml;2;300.000;285.000;182.000
Kem dưỡng ẩm Cerave 50ml dành cho da khô đến rất khô;3;138.000;215.000;138.000
Mặt nạ Carophy 3in1 giảm mụn, thâm và dưỡng da;20;17.000;32.000;17.000
Kem dưỡng ẩm Cerave 340ml dành cho da khô đến rất khô;2;320.000;485.000;320.000
Kẹo socola đen hạnh nhân lvan Nga 400g;3;173.000;249.000;173.000
Đồ chơi trực thăng biến hình CY803;7;36.562,5;85.000;40.625
Xe sắt 9949;22;27.374,4;65.000;30.416
Xe cẩu RJ6916;6;34.499,7;79.000;38.333
Xe mô hình cẩu móc họp kim 523-138;6;68.999,4;145.000;76.666
Xe mô hình cẩu múc hợp kim 523-137;6;57.899,7;119.000;64.333
Máy bay có sử dụng pin 777-46;5;45.749,7;95.000;50.833
Đồ chơi siêu nhân biến hình 168-96;1;166.500;325.000;185.000
Đồ chơi siêu nhân biến hình 339-52;1;126.000;245.000;140.000
Keo nước HT02 3499 40ml;12;3.900;10.000;3.900
Keo nước HT01 6676 30ml;11;3.200;8.000;3.200
Keo nước MIC;19;2.500;7.000;2.500
Keo nước CL GL07;12;3.500;9.000;3.500
Keo nước Deli A521;11;2.520;8.000;2.800
Bìa MiCa Trung TCT036;0;67.000;109.000;67.000
Bìa mica a4 dày TCT037;0;70.000;119.000;70.000
Bút chì gỗ 2B PC405 có tẩy;24;2.600;7.000;2.600
Keo nước GL05-SK;12;3.500;10.000;3.500
Giấy thủ công 12màu Thiên Long GTC-C006;10;14.800;35.000;18.500
Bút máy nét trơn Hồng Hà 2289;11;36.000;65.000;36.000
Khăn ướt bebegrow;2;28.000;49.000;28.000
Bình nước Bioamicus;2;0;120.000;0
Váy công chúa Pony;1;0;250.000;0
Vở ô ly 80 trang khám phá thiên nhiên;1;0;14.000;0
Vở ô ly Thiên Long mèo con năng động 48 trang;1;0;11.000;0
Bút gel Quick Dry 0.5 - Thiên Long GEL-040/KM - Mực Xanh;10;0;12.000;0
Bút gel xóa được TL GELE-06/XMAS mực xanh;6;0;15.000;0
Bìa nút màu pastel Xanh;23;5.396,66;12.000;6.000
Bìa nút màu pastel Hồng;24;5.396,66;12.000;6.000
Bông tắm tạo bọt cao cấp OHI;0;0;99.000;62.468
Ngô nếp sấy giòn xóc mắm ớt 150g;7;10.952;18.000;10.952
Ngô nếp sấy giòn xóc mắm ớt 400g;6;26.000;49.000;26.000
Sổ Album thẻ bài;3;60.000;99.000;60.000
Thẻ bài Maruko;22;6.500;15.000;6.500
Bánh gạo Organic Rice Cracker các vị;6;66.000;99.000;66.000
Tinh dầu massage bubchen ốc sên;2;70.000;115.000;70.000
Cờ cá ngựa 2302 - Nam châm;2;46.410;85.000;46.410
Chess - Cờ vua 2301;2;37.485;69.000;37.485
Cờ cá ngựa đại chiến 2;2;49.980;85.000;49.980
Cờ cá ngự đại chiến 3;2;49.980;85.000;49.980
Cờ tỷ phú Thế giới 2401;2;43.733;75.000;43.733
Cờ tỷ phú Hội An  2302;2;44.625;95.000;44.625
Cờ cá ngựa 2301;2;33.915;65.000;33.915
Cá ngựa đại chiến 1;2;49.980;85.000;49.980
Cờ cá ngựa đại chiến 1 - Nam châm;2;64.260;109.000;64.260
Cờ cá ngựa Foxi 2301 - Nam châm;2;58.905;99.000;58.905
Cờ cá ngựa đại chiến 2 - Nam châm;2;64.260;109.000;64.260
Cờ cá ngự đại chiến 3 - Nam châm;2;64.260;109.000;64.260
Cờ cá ngựa 2301;2;50.873;85.000;50.873
Cờ tỷ phú Việt Nam 2501;2;96.390;165.000;96.390
Chess - Cờ vua 2301 Nam châm;2;53.550;85.000;53.550
Lật mặt bọ  2301;2;69.615;119.000;69.615
Cờ tỷ phú Hội An 2301;1;69.615;115.000;69.615
Đi tìm kho báu - Phần 1;2;69.615;119.000;69.615
Cờ cá ngựa 2302;2;30.345;59.000;30.345
Chess  - Cờ vua 2302;2;34.808;65.000;34.808
Đi tìm kho báu - Phần 2;2;104.423;165.000;104.423
Cờ tỷ phú thế giới 2401 - Nam châm;1;69.615;109.000;69.615
Cờ ô ăn quan - Trạng nguyên;2;80.325;125.000;80.325
Cờ tỷ phú Việt Nam 2504;2;97.283;169.000;97.283
Cờ cá ngựa 2304;2;51.765;89.000;51.765
Đi tìm kho báu mini 03;2;29.453;59.000;29.453
Đi tìm kho báu mini 01;2;28.560;55.000;28.560
Đi tìm kho báu mini 4;2;29.453;59.000;29.453
Đi tìm kho báu mini 6;2;29.453;59.000;29.453
Đi tìm kho báu mini 2;2;29.453;59.000;29.453
Đi tìm kho báu Mini 5;2;29.453;55.000;29.453
Sách nam châm Puzzle Dinosaur - Lv2;0;40.162;69.000;40.162
Sách nam châm Puzzle Transportation - Lv1;5;40.162;69.000;40.162
Sách nam châm Puzzle Universe 2501 - Lv2;3;40.162;69.000;40.162
Ô ăn quan săn đá quý;1;57.120;95.000;57.120
Cờ cá ngựa 2303- Nam châm;2;60.690;95.000;60.690
Uno Fox;17;20.081;39.000;20.081
Chess - cờ vua 2303 - Nam châm;2;60.690;99.000;60.690
Cờ tỷ phú Thế giới 2403 - Nam châm;2;92.820;155.000;92.820
Cờ tỷ phú Việt Nam 2503 - Nam châm;2;125.843;185.000;125.843
Cờ tỷ phú Hội An 2303 - Nam châm;2;83.895;139.000;83.895
Chess-Cờ vua 2303;2;43.733;75.000;43.733
Cờ tỷ phú Việt Nam 2503;2;79.433;135.000;79.433
Cờ tỷ phú Hội An 2303;2;63.368;109.000;63.368
Cờ tỷ phú thế giới 2403;2;69.615;109.000;69.615
Cờ cá ngựa 2303;2;41.948;75.000;41.948
Cờ cá ngựa foxi 2301;2;33.915;59.000;33.915
Đi tìm kho báu phần 3;2;111.563;179.000;111.563
Bộ giáo dục steam - logic level 3A;2;46.410;79.000;46.410
Đồ chơi giáo dục steam - khoá logic level 1A;1;46.410;79.000;46.410
Bộ xếp hình sáng tạo 012 - đoàn tàu kéo chữ;2;101.745;169.000;101.745
Bộ xếp hình sáng tạo 011 - lắp ráp ô tô;2;97.729;169.000;97.729
Bộ xếp hình sáng tạo 013 - đoàn tàu kéo số;2;101.745;169.000;101.745
Bộ xếp hình sáng tạo 015 - khối gạch trơn;2;87.019;139.000;87.019
Bộ xếp hình sáng tạo 010 - lắp ráp ô tô;2;97.729;165.000;97.729
Cờ tỷ phú gold 2503;2;255.255;395.000;255.255
Cờ tỷ phú premium 2403;2;202.598;299.000;202.598
Cờ tỷ phú thế giới 2404 nam châm;2;114.240;189.000;114.240
Cờ tỷ phú gold 2504;2;310.590;445.000;310.590
Cờ tỷ phú premium 2404;2;252.578;395.000;252.578
Cờ tỷ phú Hội An 2302 nam châm;2;60.690;99.000;60.690
Cờ tỷ phú Hội An 2304 nam châm;2;103.530;169.000;103.530
Cờ tỷ phú thế giới 2404;2;84.788;139.000;84.788
Cờ Tỷ Phú Hội An nam châm 2304;2;77.648;129.000;77.648
Chess - cờ vua nam châm 2302;1;49.088;89.000;49.088
Cờ cá ngựa nam châm 2302;0;0;79.000;44.200
Cờ xúc xắc cá ngựa 6;2;28.560;55.000;28.560
Du lịch xuyên Việt;2;28.560;55.000;28.560
Đại chiến covid;0;0;55.000;27.200
Cờ tỷ phú Hội An 2301;2;53.550;115.000;53.550
Trang phục Ảo thuật gia HK 0291 size L;1;390.000;595.000;390.000
Áo choàng kèm mũ cam;5;70.000;129.000;70.000
Bộ bí nhung Halloween;1;75.000;139.000;75.000
Bờm đen voan Halloween;2;28.000;55.000;28.000
Bờm bí Halloween;2;35.000;59.000;35.000
Váy 8209 kèm tóc Halloween size S;0;290.000;475.000;290.000
Váy 8209 kèm tóc Halloween size M;1;290.000;475.000;290.000
Váy 8209 kèm tóc Halloween size L;1;290.000;475.000;290.000
Bộ áo choàng sừng Halloween các màu;0;55.000;99.000;55.000
Bộ áo ma trắng Halloween cute size S;4;90.000;165.000;90.000
Áo choàng 6 màu;7;130.000;225.000;130.000
Đèn bão Halloween;9;75.000;135.000;75.000
Binh khí to;5;30.000;59.000;30.000
Set gội xả Cocoon bưởi;0;0;499.000;325.000
Set gội xả pantene 400ml màu vàng mẫu mới;0;180.000;265.000;180.000
Trang phục Bá tước máu XY 1271 size S;0;0;445.000;280.000
Trang phục Người Nhện vip pro XY 1125 size S;0;0;345.000;195.000
Trang phục Người Nhện vip pro XY 1125 size L;1;0;345.000;195.000
Sữa rửa mặt tạo bọt Hatomugi;1;79.000;129.000;79.000
Trang phục người dơi HK 0264 size L;1;0;295.000;180.000
Trang phục người dơi HK 0264 size S;1;0;295.000;180.000
Trang phục dơi đen XY 1153 size S;1;0;295.000;170.000
Trang phục dơi đen XY 1153 size M;2;90.000;295.000;180.000
Trang phục Bá tước máu XY 1271 size L;1;0;445.000;280.000
Trang phục Người que đại chiến XY 1303 size M;0;0;395.000;250.000
Trang phục Người que đại chiến XY 1303 size XL;1;0;395.000;250.000
Trang phục phù thuỷ XY 1292 size L;0;0;475.000;290.000
Trang phục phù thuỷ XY 1292 size M;0;0;475.000;290.000
Trang phục chúa tể hài cốt XY 1279 size L;0;0;365.000;220.000
Trang phục chúa tể hài cốt XY 1279 size S;1;0;365.000;220.000
Trang phục Ảo thuật gia HK 0291 size S;1;0;595.000;390.000
Trang phục Elsa HK 0178 size L;1;0;445.000;280.000
Trang phục Elsa HK 0178 size M;1;0;445.000;280.000
Trang phục Bạch tuyết HK 0181 size L;0;0;475.000;290.000
Trang phục Bạch tuyết HK 0181 size M;1;0;475.000;290.000
Trang phục Kỳ lân cô nương BN 8015 size L;1;0;365.000;220.000
Trang phục Kỳ lân cô nương BN 8015 size M;1;0;365.000;220.000
Thẻ bài Sanrio Characters;8;6.500;15.000;6.500
Hút mũi Nasal Aspirator;3;43.500;85.000;58.000
Bọt rửa bình cao cấp Dr.Papie;5;66.000;99.000;66.000
Khăn sữa sợi tre cao cấp Dr.Papie ( 0m+);4;73.000;109.000;73.000
Tăm bông thân giấy Dr.Papie 200 que ( dành cho trẻ từ 2 tuổi );12;21.000;39.000;21.000
Tập tô chữ-dành cho trẻ chuẩn bị vào lớp 1-Tập 2;0;0;12.000;0
Tập tô chữ- dành cho trẻ chuẩn bị vào lớp 1 Tập 1;0;0;12.000;0
Kem dưỡng cộng chống nắng tàn nhang ngày transino;0;450.000;595.000;450.000
Đầm hoá trang nàng tiên cá size 130;1;203.040;345.000;203.040
Trang phục Bé gái lạ mặt ( xanh lá cây ) size 130;1;205.200;345.000;205.200
Trang phục Bé gái lạ mặt ( xanh lá cây ) size 110;1;205.200;345.000;205.200
Trang phục Bé gái lạ mặt ( hồng ) size 110;0;205.200;345.000;205.200
Váy hoá trang Halloween size 110;1;150.120;265.000;150.120
Váy hoá trang Halloween size 120;1;150.120;265.000;150.120
Đầm hoá trang Công chúa dễ thương size 130;1;240.840;395.000;240.840
Đầm hoá trang Công chúa dễ thương size 120;0;240.840;395.000;240.840
Đầm hóa trang nàng tiên cá size 110;1;203.040;345.000;203.040
Nước giặt Hygene màu hồng 1.8L (mẫu mới);8;103.000;139.000;103.000
Nước giặt Hygene màu trắng 1.8L ( mẫu mới );5;103.000;139.000;103.000
Kem nền BB kose tone 2;2;360.000;495.000;360.000
Pin Lithium Toshiba CR2016 - 1 (to);14;16.200;27.000;16.200
Gội xả Ichikami vàng;1;200.000;295.000;200.000
Xe tập đi Nica (tặng khi mua 12b Mamogom);1;0;0;0
Khắn thể thao Family 35*80 cm;19;40.000;69.000;40.000
Khăn tắm Family 70*140 cm;13;145.800;225.000;145.800
Giấy gói quà gấu xanh;17;2.817;7.000;2.817
Giấy gói quà sóc xanh;18;2.817;7.000;2.817
Giấy gói quà GC gấu xanh;12;2.817;7.000;2.817
Giấy gói quà doraemon xanh;11;2.817;7.000;2.817
Giấy gói quà ếch xanh;11;2.817;7.000;2.817
LACTACYD- Sữa tắm gội cho bé 500ml (Xanh dương);3;153.000;195.000;153.000
LACTACYD- Sữa tắm gội cho bé 500ml (Xanh lá);2;153.000;195.000;153.000
Sữa tắm gội cho bé Evoluderm Bé bé 500ml;1;130.000;189.000;130.000
Men vi sinh nhỏ giọt Imiale hộp 8g tặng 1 khay ăn Imiale;2;320.000;445.000;320.000
Túi thơm treo tủ quần áo Hygience Thái;12;20.000;39.000;20.000
Màu bút lông Milo 12 màu;0;0;19.000;0
Set cánh váy Halloween;8;105.000;195.000;105.000
Nến cam Halloween;8;28.000;59.000;28.000
Chổi voan phù thuỷ;8;35.000;69.000;35.000
Ma voan Halloween;7;45.000;85.000;45.000
Bí đèn to mặt đen;2;49.000;89.000;49.000
Bí đèn nhỏ mặt đen;0;40.000;79.000;40.000
Washi viền 3 màu TELADO siêu xinh;9;14.000;29.000;14.000
Túi dạ xô Halloween;1;30.000;59.000;30.000
Cuộn Washi sticker tem  TELADO;10;13.000;29.000;13.000
Túi dạ bí ngô Halloween;4;25.000;49.000;25.000
Túi dạ mũ tím Halloween;7;25.000;49.000;25.000
Washi cuộn hình đồ ăn PVC nhiều chủ đề món;10;18.000;39.000;18.000
Bí mini mặt đen không đèn;1;6.500;15.000;6.500
Bí nhỡ mặt đen không đèn;-1;13.000;29.000;13.000
Set 30 sticker truyện tranh hoạt hình Weekend Hangout;9;16.500;35.000;16.500
Set 30 tấm sticker vintage Western Garden;9;13.000;29.000;13.000
Đầu lâu trắng Halloween;1;55.000;95.000;55.000
Cào tóc gắn charm táo;10;24.000;49.000;24.000
Tệp 30 tấm note bé gái dessert TELADO;18;9.000;19.000;9.000
Set 20 tấm sticker cô gái mùa đông;9;11.000;25.000;11.000
Set 30 miếng sticker cô nàng Custom Life;10;11.000;25.000;11.000
Áo choàng đen vàng kèm mũ Halloween;2;61.875;115.000;65.000
Áo choàng 3D kèm mũ Halloween;3;68.000;129.000;68.000
Set sticker trang trí phong cảnh du lịch biển;9;9.500;22.000;9.500
Áo choàng phù thuỷ đen vàng (120cm);0;30.000;59.000;30.000
Cuộn sticker cuộc sống bé gái thỏ TELADO;16;10.000;25.000;10.000
Set DIY thời trang Capy-Gấu bơ;9;28.000;59.000;28.000
Set 2 tấm nail sticker fingertip wonderful house siêu to;4;15.000;35.000;15.000
Bộ compa eke hộp nhựa basic cr226;2;21.000;45.000;21.000
Bộ lego Cake shop;8;11.111;25.000;11.111
Tất dệt cổ nhún tone trắng xám;6;9.000;19.000;9.000
Tất trắng cổ ngắn basic chất dày dặn mix mẫu;5;12.000;25.000;12.000
Tất gối dệt gân dày dặn 3 màu trắng, xám, đen;9;14.000;29.000;14.000
Áo choàng 3D;6;65.000;125.000;65.000
Áo choàng nhện;1;43.000;89.000;43.000
Trang phục Người Nhện vip pro XY 1125;0;195.000;345.000;195.000
Trang phục Bạch tuyết HK 0181;1;290.000;475.000;290.000
Trang phục Kỳ lân cô nương BN 8015 size S;0;220.000;365.000;220.000
Trang phục Elsa HK 0178 size S;0;280.000;445.000;280.000
Trang phục Người que đại chiến XY 1303;2;250.000;395.000;250.000
Trang phục dơi đen XY 1153;1;170.000;295.000;170.000
Chén sứ hình thú cute;2;18.000;35.000;18.000
Trang phục chúa tể hài cốt XY 1279;0;220.000;365.000;220.000
Trang phục Ảo thuật gia HK 0291 size M;1;390.000;595.000;390.000
Set 2 Scrunchies nhiều màu mix;11;16.500;35.000;16.500
Trang phục Bá tước máu XY 1271;2;280.000;445.000;280.000
Trang phục người dơi HK 0264 size M;0;180.000;295.000;180.000
Trang phục phù thuỷ XY 1292;0;290.000;475.000;290.000
Sổ lò xo sticker tương tác nam châm quầy bán đồ ăn;4;42.000;89.000;42.000
Sổ lò xo sticker DIY trang điểm thời trang bé gái;16;56.000;99.000;56.000
Phấn nền Karadium collagen smart sun pact no.21;3;155.000;235.000;155.000
Sữa rửa mặt nghệ Cocoon 310ml;2;208.000;299.000;208.000
Nước dưỡng da đầu bồ kết Cocoon 140ml;1;131.000;195.000;131.000
Kem chống nắng Marti Derm - Light;2;445.000;645.000;445.000
Ủ tóc Cocoon bưởi 200ml;2;151.000;225.000;151.000
Set gội xả L’oreal Paris Elseve Hyaluron Moisture 72h ( Vòi xám );2;0;395.000;265.000
Set gội xả L’oreal Paris Elseve Hyaluron Moisture 72h ( Vòi xanh );3;0;395.000;265.000
Túi giấy rơm nhiều màu kèm hạt pom pom Z8505;4;13.000;29.000;13.000
Túi giấy rơm nhiều màu 30gr Z8501;8;11.000;25.000;11.000
Túi giấy kèm nơ vân đá size trung H-1013;7;7.500;18.000;7.500
Túi giấy kèm nơ vân đá size đại H-1013;10;10.000;19.000;10.000
Túi giấy kèm nơ lông chim size đại H-011;1;10.000;19.000;10.000
Túi giấy kèm nơ hình hoa nhỏ size trung H-039;4;7.500;15.000;7.500
Túi giấy kèm nơ hình hoa nhỏ size đại H-039;0;10.000;19.000;10.000
Túi giấy nắp gập bìa trong gấu thỏ size trung 038-9296;5;7.000;16.000;7.000
Túi giấy nắp gập bìa trong gấu thỏ size đại 038-9296;12;9.500;19.000;9.500
Túi giấy kèm nơ hình hoa to size trung H1014;11;7.500;18.000;7.500
Túi giấy kèm nơ hình hoa to size đại H1014;8;10.000;19.000;10.000
Túi trong PVC màu trơn 6528;2;10.000;19.000;10.000
Túi giấy bìa trong hình hoa size trung 9307;4;7.500;18.000;7.500
Túi giấy bìa trong hình hoa size đại 9307;7;10.000;19.000;10.000
Túi giấy bìa trong hình gấu thỏ size trung 9302;11;7.500;18.000;7.500
Túi giấy bìa trong gấu thỏ size đại 9302;9;10.000;19.000;10.000
Túi giấy hình cherry size đại 9311;6;9.500;19.000;9.500
Túi giấy hình cherry size trung 9311;3;7.500;18.000;7.500
Túi giấy bìa trong kèm thiệp cỡ nhỏ;14;6.500;15.000;6.500
Lọ thuỷ tinh ước nguyện 92798;5;10.000;24.000;10.000
Móc khoá cá sấu cắn tay MK12;6;20.000;39.000;20.000
Móc khoá thú đổi mặt MK06;9;27.000;55.000;27.000
Móc khoá thỏ kem MK05;8;20.000;39.000;20.000
Nến thơm hình hoa tulip 3 cánh XZ130;3;25.000;49.000;25.000
Nến thơm hình hoa tulip XZ206;4;24.000;49.000;24.000
Nến thơm hình gấu XZ194;3;25.000;49.000;25.000
Nến thơm hình bánh macaron XZ142;2;20.000;45.000;20.000
Nến thơm hình vuông khối rubik XZ001;5;18.000;39.000;18.000
Giấy gập sao hũ chó trắng TK9517;11;18.000;39.000;18.000
Giấy gập sao hũ tim TK9515;7;19.000;39.000;19.000
Slam quả cầu kèm đồ chơi cô bé thỏ 4047B;12;15.000;35.000;15.000
Slam quả cầu sanrio 4047C;10;15.000;35.000;15.000
Thiệp hộp quà gập 3D kèm phong bì K4257;11;3.500;9.000;3.500
Lọ thuỷ tinh ước nguyện đại dương hồng;20;17.000;35.000;17.000
Thiệp sáng tạo bó hoa lụa 4288;2;9.500;19.000;9.500
Thiệp da kèm hoa khô TK4180;3;9.500;19.000;9.500
Dây nhảy nhựa mềm cán 2 màu 6042;4;20.000;49.000;20.000
Dây nhảy trong suốt cán hồ lô 6043;3;20.000;45.000;20.000
Dây nhảy đếm số loại to 317;4;20.000;45.000;20.000
Set bó hoa bông kitty kèm túi + thiệp + đèn H02;1;150.000;245.000;150.000
Phấn phủ bền màu 8.5G #001 (Phấn phủ bột 3CE);2;275.000;399.000;275.000
Phấn phủ bền màu 8.5G #002 (Phấn phủ bột 3CE);2;275.000;399.000;275.000
3CE Fitting Mesh Cover Cushion N1.5;3;440.000;645.000;440.000
MBL mascara dài cong dày LS SKY HIGH WTP VERY BLACK AS;3;148.000;225.000;148.000
Maybelline kem nền Fit Me M&P SPF 110 ( Nắp đen );3;180.000;269.000;180.000
Phấn phủ Fit Me Compact Maybelline tone 118;3;127.000;189.000;127.000
Kem đánh răng Pigeon vị nho (mẫu mới);5;68.000;109.000;68.000
Son dưỡng Dior Addit Lip Glow 033 ( tặng kèm túi);2;590.000;845.000;590.000
Giấy màu Pony;2;0;10.000;0
Thám tử lừng danh Conan tập 106;3;20.000;25.000;25.000
Son Dior màu 777 (tặng kèm túi);1;590.000;895.000;590.000
Son Dior màu 314 (tặng kèm túi);2;590.000;895.000;590.000
Son Dior màu 228 (tặng kèm túi);0;590.000;895.000;590.000
Son Dior màu 217 (tặng kèm túi);2;590.000;895.000;590.000
Son Dior màu 772 (tặng kèm túi);2;590.000;895.000;590.000
Bánh quẩy sữa chua;3;12.000;24.000;12.000
Bánh donut chà bông;2;13.000;25.000;13.000
Bánh ngàn lớp sữa;1;12.000;24.000;12.000
Bánh tròn ruốc;2;13.000;25.000;13.000
Bánh lava trứng scl;10;6.000;12.000;6.000
Bánh lava trứng matcha;8;6.000;12.000;6.000
Bánh túi bông lan sữa;0;48.000;79.000;48.000
Bánh cuồn phô mai( mẫu mới);16;10.000;19.000;10.000
Bánh mario óc chó;4;12.000;24.000;12.000
Nước xả vải Hygiene đen 2,2L;3;135.000;185.000;135.000
Nhíp nhổ lông mày Kenko N405;8;24.000;39.000;24.000
Nhíp nhổ lông mày Kenko N401;6;21.000;39.000;21.000
Nhỏ mắt Santen PC chống bức xạ từ máy tính;2;85.000;129.000;85.000
Vitamin D3K2 MK7 Sunday Natural hộp giấy;4;227.000;345.000;227.000
Vitamin K2+D3 bioamicus 10ml;3;255.000;375.000;255.000
Bình tập uống tommee tippee 6m+;2;135.000;215.000;135.000
Bánh que khoai tây fried potato;2;40.000;69.000;40.000
Dầu massage baby oil cetapil 200ml;2;155.000;225.000;155.000
Men Biogaia + Vitamin D 10ml 0m+ tuýp nhựa pháp;3;280.000;395.000;280.000
Hộp xe sắt K175A64;5;38.700;89.000;43.000
Robot Spider Man EJ688;1;99.000;195.000;110.000
Bộ ghép hình ngôi nhà vui vẻ LX.A066;1;342.000;599.000;380.000
Vỉ xe sắt 4 cái JM52259;3;64.800;145.000;72.000
Máy làm kem 8086;1;81.000;179.000;90.000
Hộp xe sắt K197A;7;49.500;109.000;55.000
Đồ chơi gia đình thú cưng 20026;2;96.300;195.000;107.000
Mặt nạ siêu anh hùng 2041;9;25.666,667;59.000;28.000
Máy bay biến hình 706-61;5;68.999,4;149.000;76.666
Đồ chơi xe oto mô hình 7757;7;96.300;299.000;107.000
Đồ chơi xe mô hình 3609A;2;79.200;169.000;88.000
Đồ chơi máy bay biến hình D400-35;15;36.000;79.000;40.000
Đồ chơi xe oto biến hình 706-73;8;81.000;159.000;90.000
Đồ chơi xe mô hình 998-26A;-1;54.000;119.000;60.000
Đồ chơi ghép hình chiến hạm 99151 (1-4);5;24.300;59.000;27.000
Đồ chơi xe mô hình 998-22A (144/T);2;63.000;135.000;70.000
Đồ chơi xe mô hình 3607A;1;73.800;155.000;82.000
Đồ chơi xe mô hình 3611A;0;73.800;155.000;82.000
Đồ chơi xe mô hình 5009;0;94.500;185.000;105.000
Đồ chơi xe mô hình 50013;1;94.500;189.000;105.000
Đồ chơi xe mô hình 50010;1;94.500;189.000;105.000
Đồ chơi siêu nhân biến hình DT339-12;7;25.200;59.000;28.000
Đồ chơi ghép hình xe chiến đấu 9052- 1/2/3/4;1;0;59.000;27.000
Đồ chơi ghép hình máy bay 9038 - 1/2/3/4;2;24.300;59.000;27.000
Đồ chơi vỉ cứu hoả 882-4;2;56.700;119.000;63.000
Đồ chơi vỉ xe công trình 883-4;2;54.000;119.000;60.000
Đồ chơi túi thú 6169;0;63.000;135.000;70.000
Đồ chơi túi khủng long 6943;2;67.500;145.000;75.000
Đồ chơi túi khủng long 6930;1;63.000;139.000;70.000
Đồ chơi vỉ câu cá SFY 6350;3;38.700;89.000;38.700
Đồ chơi xe tải mô hình 706-71;0;72.000;155.000;80.000
Đồ chơi robot D400-33;8;40.500;89.000;45.000
Đồ chơi vỉ công trình 883-2;2;46.800;99.000;52.000
Đồ chơi vỉ xe cứu hoả 882-2;2;46.800;99.000;52.000
Hộp xe sắt 32125;11;134.250,3;269.000;149.167
đồ chơi bóng đá số 5 LR911R;5;67.500;135.000;75.000
Hộp ghép hình xe quân sự 2661;0;81.000;169.000;90.000
Đàn cá heo 221;2;103.500;192.000;115.000
Bộ ghép hình phụ kiện siêu anh hùng FC 9403;2;103.500;195.000;115.000
Ghép hình phụ kiện siêu anh hùng FC 9401;1;103.500;195.000;115.000
Hộp ghép hình phụ kiện siêu anh hùng FC 9404;2;103.500;195.000;115.000
Bộ ghép hình bé gái Ql1116;1;157.500;299.000;175.000
Ghép hình Animal bus 92308;3;216.000;69.000;40.000
Máy làm mì 8082;0;0;159.000;90.000
Hộp ghép hình City Cinema Lx.A506;1;76.500;169.000;85.000
Hộp ghép hình City Burger shop LX.A505;1;76.500;159.000;85.000
Hộp ghép hình City Restaurant LX.A503;2;76.500;169.000;85.000
Hộp ghép hình City Cafe LX.A504;2;76.500;159.000;85.000
Hộp ghép hình cake LX.A501;1;79.200;165.000;88.000
Bộ ghép hình phụ kiện siêu anh hùng 68595 -97;2;76.500;165.000;85.000
Khủng long 2 đầu GP2123;0;0;215.000;123.000
Bộ đồ chơi xếp hình 3D 16154;1;468.000;795.000;520.000
Bộ đồ chơi xếp hình 3D 16153;1;468.000;795.000;520.000
Hộp kệ đứng siêu thị 668-78;1;400.500;695.000;445.000
Hộp bếp đứng 889-190;0;0;399.000;265.000
Đồ chơi siêu nhân Gao 3010;1;121.500;245.000;135.000
Hộp ghép hình Street LX.A502;1;79.200;165.000;88.000
Xe chở xe RJ6601;1;85.500;179.000;95.000
Đồ chơi vỉ câu cá SFY-D209;1;63.900;135.000;71.000
Bồ chơi vỉ câu cá SFY-D203;2;59.400;119.000;59.400
Đồ chơi vỉ câu cá hình con vịt SFY-C195;1;63.000;135.000;70.000
Gao minh 33029;0;0;269.000;145.000
Bánh gạo gerber organic (xanh lá);3;94.000;129.000;90.000
Súng pin dài;0;80.000;149.000;80.000
Súng pin xanh 9925;1;260.000;399.000;260.000
Set 4 siêu nhân sắt bé;1;240.000;399.000;240.000
Set 4 siêu nhân sắt to;1;170.000;299.000;170.000
Súng đạn ngâm nước dài đen đỏ;1;220.000;365.000;220.000
Súng đạn xốp ngắn 899-14;0;160.000;285.000;160.000
Súng đạn xốp dài 899-44;2;220.000;365.000;220.000
Súng đạn ngâm nước đen 6203-A;1;350.000;545.000;350.000
Em bé nhảy 3 màu;6;160.000;269.000;160.000
Chong chóng xanh/ hồng;2;35.000;69.000;35.000
